quart,quarter,time,aus.idn,aut.idn,bel.idn,can.idn,deu.idn,dnk.idn,esp.idn,fin.idn,fra.idn,gbr.idn,grc.idn,ita.idn,jpn.idn,nld.idn,prt.idn,swe.idn,usa.idn,aus.id,aut.id,bel.id,can.id,deu.id,dnk.id,esp.id,fin.id,fra.id,gbr.id,grc.id,ita.id,jpn.id,nld.id,prt.id,swe.id,usa.id,aus.b.gdp,aut.b.gdp,bel.b.gdp,can.b.gdp,deu.b.gdp,dnk.b.gdp,esp.b.gdp,fin.b.gdp,fra.b.gdp,gbr.b.gdp,grc.b.gdp,ita.b.gdp,jpn.b.gdp,nld.b.gdp,prt.b.gdp,swe.b.gdp,usa.b.gdp,aus.gr.gdpv,aut.gr.gdpv,bel.gr.gdpv,can.gr.gdpv,deu.gr.gdpv,dnk.gr.gdpv,esp.gr.gdpv,fin.gr.gdpv,fra.gr.gdpv,gbr.gr.gdpv,grc.gr.gdpv,ita.gr.gdpv,jpn.gr.gdpv,nld.gr.gdpv,prt.gr.gdpv,swe.gr.gdpv,usa.gr.gdpv,aus.fsi,aut.fsi,bel.fsi,can.fsi,deu.fsi,dnk.fsi,esp.fsi,fin.fsi,fra.fsi,gbr.fsi,grc.fsi,ita.fsi,jpn.fsi,nld.fsi,prt.fsi,swe.fsi,usa.fsi,aus.gr.lf,aut.gr.lf,bel.gr.lf,can.gr.lf,deu.gr.lf,dnk.gr.lf,esp.gr.lf,fin.gr.lf,fra.gr.lf,gbr.gr.lf,grc.gr.lf,ita.gr.lf,jpn.gr.lf,nld.gr.lf,prt.gr.lf,swe.gr.lf,usa.gr.lf,aus.excheb,aut.excheb,bel.excheb,can.excheb,deu.excheb,dnk.excheb,esp.excheb,fin.excheb,fra.excheb,gbr.excheb,grc.excheb,ita.excheb,jpn.excheb,nld.excheb,prt.excheb,swe.excheb,usa.excheb,aus.gr.pgdp,aut.gr.pgdp,bel.gr.pgdp,can.gr.pgdp,deu.gr.pgdp,dnk.gr.pgdp,esp.gr.pgdp,fin.gr.pgdp,fra.gr.pgdp,gbr.gr.pgdp,grc.gr.pgdp,ita.gr.pgdp,jpn.gr.pgdp,nld.gr.pgdp,prt.gr.pgdp,swe.gr.pgdp,usa.gr.pgdp,aus.rirl,aut.rirl,bel.rirl,can.rirl,deu.rirl,dnk.rirl,esp.rirl,fin.rirl,fra.rirl,gbr.rirl,grc.rirl,ita.rirl,jpn.rirl,nld.rirl,prt.rirl,swe.rirl,usa.rirl
1981.25,1,1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,aus,aut,bel,can,deu,dnk,esp,fin,fra,gbr,grc,ita,jpn,nld,prt,swe,usa,,14.65272858,54.24130051,15.038994,4.291186421,11.38434146,8.325189878,-28.28217054,-3.146511825,26.93530217,138.9691158,39.59170341,15.869026,21.29106099,,-10.73992515,25.296032,0.43929143,-0.692630474,-0.582122175,2.422654925,1.189866492,-0.61139671,-0.566186107,-0.188211986,0.30302323,-0.650929016,-0.603806747,-0.057339387,0.59859564,-0.963370163,0.10454168,-0.028116003,2.0711107,,1.9995,7.1955,0.6944,2.8008,-0.788,-2.3443,1.079333333,,-0.514466667,,4.149333333,-3.8283,0.1985,,,2.504,0.193384025,0.501894857,0.028546161,1.386656245,0.530327659,-1.139692457,-0.005497692,0.182546312,0.620152671,0.144316163,,-0.455890411,0.323072719,0.440110874,-0.21055702,0.568828939,0.774373689,29587,122.419447,67.262878,74.772008,80.966073,48.21893,73.285384,124.172844,75.985642,85.565885,,101.616872,103.083819,26.010823,47.529799,95.398032,127.963198,1.63420171,2.089723859,1.118624075,2.590841049,0.972769701,2.576576455,2.564311299,4.833843891,2.761834682,2.554656865,4.545140472,4.563040268,0.337764909,1.26951337,3.700937443,1.959616143,2.497196051,1.080760828,4.402696409,5.641584139,3.973578547,4.741873033,8.133988426,2.004521311,1.960128785,1.689093166,5.819498567,,-2.240799794,5.569665302,3.655189077,0.774901686,5.785855196,5.830416621
1981.5,2,2,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,aus,aut,bel,can,deu,dnk,esp,fin,fra,gbr,grc,ita,jpn,nld,prt,swe,usa,,14.86634699,58.56526964,14.726438,4.569765397,13.11794345,8.66415962,-28.32842145,-2.062797187,25.66670966,134.6359476,40.60938932,16.74217,21.79650894,,-8.815988364,24.295807,1.486588448,1.00633981,-0.308258998,1.081136439,-0.249632331,-0.116724309,-0.110718617,1.171099643,0.551860542,0.172980658,-0.484174608,0.194997387,1.211277209,-0.025646662,0.281204679,0.084416825,-0.730169267,,2.440166667,6.019066667,0.6081,4.5321,0.9948,-1.818833333,-0.1848,7.333733333,-0.809566667,,4.5266,-5.010433333,4.870966667,,,3.7659,0.53700912,0.560352921,0.052472347,0.599628024,0.289724855,-0.79306356,0.037575944,-0.125113526,0.421801918,0.070206555,,-0.102817943,0.134668892,0.388482182,-0.211024278,-0.825882994,0.530138136,29677,126.641064,67.529302,74.12071,82.153802,48.119299,71.697483,124.34998,76.695371,83.471926,,98.233859,99.090701,25.355254,50.289283,97.256709,129.404459,2.218586914,1.25298257,1.386306888,2.305538611,1.735127385,2.608112227,3.846243633,1.66754744,2.483205166,1.572989033,5.305874266,5.186955071,0.500285786,1.084235015,4.126576668,1.963904196,1.874201004,-0.065543891,4.305837004,5.53119724,5.865108869,5.897289253,9.513814381,2.389550721,1.680400795,3.255657794,7.154350158,,2.133802899,6.318224359,4.999418326,0.028160387,6.079627816,7.325000571
1981.75,3,3,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,aus,aut,bel,can,deu,dnk,esp,fin,fra,gbr,grc,ita,jpn,nld,prt,swe,usa,,15.19166998,62.42139969,14.466249,4.903180401,14.74997488,9.309867565,-28.47933009,-1.086684752,24.32116014,129.7045239,41.84002196,17.695159,22.33048491,,-7.015702375,24.122004,1.941510809,-0.069451015,-0.031083133,-0.903589592,0.263433962,0.382155214,0.444684894,0.495389445,0.705420437,1.339467879,-0.362630259,0.046310302,-0.229572962,-0.914354821,0.456692613,0.196791435,1.147381539,,1.1263,4.421033333,3.1331,3.4049,-1.718533333,-0.2848,-0.8793,8.068033333,0.2173,,5.987566667,-4.841966667,5.837633333,,,4.5338,0.672827172,0.113647762,0.076462969,0.255768367,0.143657992,-0.411003886,-0.022976772,1.375149017,-0.451517395,-0.158777047,,-0.297084832,0.16956964,0.337454998,-0.211470532,0.963637679,-0.296439059,29768,132.542081,67.653464,73.976076,82.60914,47.947825,72.046795,123.066636,77.808137,82.91183,,91.409284,98.558829,24.86962,52.822389,97.296242,127.041634,3.166569777,1.726409896,1.63452982,2.285688076,0.931016404,2.597804997,2.975888068,2.014755215,3.118780436,1.381862055,5.943564381,4.284547843,0.535177967,2.129687903,4.472939778,1.960461624,1.799830883,3.112898117,5.684198316,5.881000329,8.160559816,5.899468716,11.15643456,1.769738037,1.947338626,4.894411784,8.079020017,,3.829526982,7.3014929,7.795216788,-0.287165036,5.950752536,8.796698225
1982,4,4,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,aus,aut,bel,can,deu,dnk,esp,fin,fra,gbr,grc,ita,jpn,nld,prt,swe,usa,,15.5344864,65.55863021,14.319773,5.274251862,16.4854694,9.283245,-28.46538986,-0.229106974,23.03233267,124.0867677,45.81612026,18.683784,22.62751447,,-5.231992397,24.785506,-0.542861987,-0.631438509,0.160769007,-0.312778478,-0.078831451,0.907317783,-0.099841043,0.395334082,0.531582838,0.015172559,-0.273089394,0.811647168,0.722257009,0.079519186,0.617993464,0.285054748,-1.167420407,,2.5992,5.928933333,2.3728,2.949066667,-6.6456,-1.083533333,-1.036633333,5.835466667,2.1649,,6.496866667,-2.882866667,4.054766667,,,1.1286,0.122409077,0.31541388,0.114799397,0.451207572,0.068696278,0.2463543,0.061121191,-0.164424882,0.956478777,-0.255186952,,0.749025405,0.297705915,0.292770463,-0.211918678,-0.05540949,0.490516471,29860,129.612654,69.206141,74.224096,83.4714,50.174751,73.411241,120.916899,78.676579,81.373975,,90.060916,95.615784,25.309391,51.596031,98.677266,116.602796,3.211243329,2.327639287,1.923064692,1.448387193,1.257668553,2.61492224,3.471009431,2.462871738,3.710859701,2.750119668,6.599447874,4.516696414,0.961476326,2.409750021,4.594647359,1.850709616,1.873114742,3.519098973,6.655986348,6.421818113,6.731031386,6.038194854,10.88560002,2.747036532,2.298568139,6.60869393,9.365910719,,3.32608991,8.049110299,8.032972267,-0.503345335,4.995027031,8.832281668
1982.25,1,5,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,aus,aut,bel,can,deu,dnk,esp,fin,fra,gbr,grc,ita,jpn,nld,prt,swe,usa,,15.70620925,66.87555145,15.793907,5.466167485,18.71987174,10.5886276,-28.09611231,0.342357168,24.66822728,117.8883125,44.8277104,19.78697,22.99775903,,-3.087232934,25.444635,-1.002183048,2.028269578,0.3520648,-1.154251332,0.37467052,1.421041853,0.411598396,0.622265435,0.863635498,0.400844867,-0.182727745,-0.039523113,1.524703031,0.93868953,0.776571353,0.372642334,-1.672240803,,0.8402,6.0038,3.9312,2.1567,-3.400533333,-1.715033333,-1.153933333,4.0102,2.315733333,,3.626666667,-1.593833333,4.052766667,,,3.3596,0.48515365,4.024641199,0.153090716,-0.38528019,0.075167111,0.483430851,0.391214018,0.671439189,-0.688649707,-0.174267705,,-0.078843052,0.325923061,0.248477477,0.041303555,0.085750238,0.290672797,29952,126.709566,69.123453,70.536472,83.149204,50.150156,70.939948,119.948935,79.650625,80.230863,,91.891922,94.861618,24.978842,53.91984,100.625572,116.581848,2.919281388,0.119028439,2.183598674,2.854364477,0.994891857,2.58745971,3.220811005,2.568527855,3.266264504,2.074753943,7.1100688,3.642321798,0.493158217,1.459805736,4.666298773,1.742088299,1.400141036,4.887931275,5.947989239,7.574121497,8.844011851,6.289070516,12.86775951,2.969235926,3.173401712,6.820950969,8.924157556,,4.077098415,7.368873123,8.067938613,-1.911748805,3.329550501,9.653629195
1982.5,2,6,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,aus,aut,bel,can,deu,dnk,esp,fin,fra,gbr,grc,ita,jpn,nld,prt,swe,usa,,15.89881648,68.10812278,17.312547,5.727327503,20.98059434,10.75980825,-27.61512183,0.834485247,26.11470449,113.0018451,47.19418316,20.917407,24.57166578,,-0.759503416,25.466942,0.533180619,0.293481972,0.22748752,-1.11585069,-0.615593473,1.118035479,0.379789937,0.985602474,0.68816522,1.283742554,-0.24726864,-0.284173742,0.684922927,-2.432907407,0.534621445,0.367265159,0.54576376,,0.9267,11.28553333,3.4317,-0.4528,-1.8364,0.1848,0.661666667,10.1894,-0.690233333,,4.718433333,-2.841766667,6.422533333,,,2.8485,0.015185029,-0.771600186,0.082778377,0.212820312,0.618843006,0.356688679,0.278655882,-0.68712442,0.369939294,-0.204286298,,0.35080736,0.313261399,0.321023655,0.041263385,0.34851529,0.679318428,30042,125.276741,69.924256,66.850685,81.614032,51.504322,69.97259,118.227019,80.225337,79.31959,,91.363063,93.785057,24.418885,56.461196,101.607553,116.72891,3.264600522,1.838477985,1.887376238,2.051127783,1.293906038,2.311290144,3.105186348,1.944004205,2.552717499,0.718880251,6.170097958,3.385859139,-0.160377388,0.398616053,5.012638206,1.998192059,1.204181344,7.757471369,6.395529402,8.02600748,9.535933986,6.710648756,14.30687898,3.73248645,2.792255136,6.637262589,8.577900727,,4.141584231,7.174269404,8.275043918,-1.153381314,2.931324922,9.836670207
1982.75,3,7,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,aus,aut,bel,can,deu,dnk,esp,fin,fra,gbr,grc,ita,jpn,nld,prt,swe,usa,,16.28416571,69.48357011,18.817018,6.04552477,23.1515274,10.13939663,-26.99704105,1.271100026,27.48179433,109.2178331,48.80041202,22.002442,25.50003057,,1.621481315,26.878792,-0.631056105,-0.067673329,0.103909007,-0.876094146,-0.988403773,0.825708058,0.67320739,1.086020477,0.02625814,0.017213284,-0.312247119,-0.053487539,0.440509627,1.108880425,0.297067511,0.361942165,-0.361355004,,0.2003,3.5942,2.3702,-1.129666667,-1.8831,2.6679,-0.336333333,12.54656667,-1.4135,,5.322866667,-2.244233333,6.012466667,,,3.1413,0.313766604,0.596344707,0.012689543,0.428805057,0.451867205,0.271715187,0.178552651,0.940610157,-0.422634955,-0.264254876,,-0.647248925,-0.005782443,0.392955883,0.041269473,0.183393012,0.37081719,30133,121.620912,70.356693,66.576734,82.405776,52.097248,68.75099,118.012644,81.375338,74.91845,,92.762222,93.933991,23.727975,59.230256,97.361248,117.587474,1.666817756,1.101780457,1.61586779,1.692063664,1.186342122,2.078651903,3.069554633,1.778045988,2.136597148,1.633036251,5.378540571,4.368729374,0.216376195,-0.11260102,5.327121435,2.236923555,1.441098843,7.406688605,6.662688549,8.006814307,9.039507538,6.593964781,14.53247996,4.415431969,2.402723944,5.830901412,7.166538836,,5.5975909,7.912847654,8.100705667,-1.417489269,3.350364581,9.425579111
1983,4,8,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,aus,aut,bel,can,deu,dnk,esp,fin,fra,gbr,grc,ita,jpn,nld,prt,swe,usa,,16.70582511,71.19945301,20.286812,6.356400164,25.19351395,12.2890888,-26.10698856,1.651361103,28.5163027,106.4164582,49.62822035,23.082444,26.78199681,,3.937852864,28.755157,-1.530916417,-0.174902065,-0.033266462,-0.831562522,0.239588883,0.5955386,0.352495983,1.268398883,0.441770984,0.544993517,-0.422620918,-0.290768813,1.400452574,-2.100653207,0.126663829,0.320439738,0.098768481,,-1.253266667,-0.309366667,1.1244,-2.558266667,-2.182166667,5.553933333,1.951866667,9.122,-0.9332,,2.9373,-2.118766667,-2.585766667,,,1.7441,0.953432867,0.000453704,-0.060249691,0.266822397,0.273613406,0.413039515,0.325699882,0.32478551,0.95408288,-0.309736164,,-0.004858659,1.046786762,0.486058864,0.041229351,0.016298237,0.392065492,30225,119.946426,71.272875,66.281592,84.243101,53.153527,70.79379,113.055956,75.459963,75.259462,,90.859574,93.20708,24.120976,60.710016,95.242701,101.831473,3.174655071,1.11975707,1.399265469,1.960092207,0.479626087,1.888747649,3.221252419,2.151629085,1.790077698,2.073587987,4.701484924,5.410982606,-0.146722127,1.933656984,5.616386502,2.478181547,1.108865924,7.299758401,6.060642915,7.645094224,7.480535121,5.419190072,13.60056518,5.174560864,2.346247967,5.875522923,6.57018481,,6.678933931,7.038402354,7.571491752,-1.420686817,3.936620435,7.359993126
1983.25,1,9,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,aus,aut,bel,can,deu,dnk,esp,fin,fra,gbr,grc,ita,jpn,nld,prt,swe,usa,,17.5073768,74.28997185,22.264144,6.498103131,27.18506584,11.80449845,-26.10485883,2.32438366,28.24072271,104.4797894,52.07386612,24.374983,27.82389437,,5.729873864,29.886078,-0.824676188,1.213787031,-0.170390756,1.641094168,0.906269548,0.36992818,0.365463092,0.116838809,0.356566803,1.510293044,-0.534274637,0.279768455,0.08404631,0.832132838,-0.042805756,0.279347467,1.308932811,,-1.647266667,-4.4355,0.0727,-3.996833333,0.681866667,8.1813,1.652833333,6.810333333,0.5152,,0.264733333,-1.971566667,-4.789133333,,,0.336,-0.110311713,-0.294996939,-0.464168701,0.127937231,0.021010117,0.378600621,0.069898463,0.011502025,-0.531598943,-0.24331811,,0.568956978,0.898580014,0.577937966,1.395771404,0.203233987,-0.288694923,30317,116.867098,72.048121,67.173062,84.402263,54.619436,72.23544,102.877595,75.07362,76.23717,,82.775538,94.561165,26.716706,61.215783,94.695481,99.657546,1.732507123,0.571737704,1.197112504,0.775540122,0.459994613,1.723397411,2.860230682,1.912956905,2.732659024,1.534095434,4.117428202,2.431083657,0.676895873,0.554969685,5.871928637,2.701696759,0.807968146,6.29340816,3.096092318,6.948684364,6.782177818,5.198287755,10.2559349,4.545910868,1.724838525,5.980913537,9.001135719,,6.137823466,6.596556676,6.842440548,-2.743298372,4.459982405,6.99107502
1983.5,2,10,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,aus,aut,bel,can,deu,dnk,esp,fin,fra,gbr,grc,ita,jpn,nld,prt,swe,usa,,18.23121405,77.18688191,24.060061,6.660512099,28.85510952,12.1030944,-25.6300733,2.937204483,28.73368188,101.8364255,53.89326299,25.6098,28.46612716,,7.336922603,30.408411,-0.083103422,1.308606555,0.090767458,1.867943512,1.052777518,0.599713743,0.617609594,1.050322099,0.157001641,0.806583067,-0.218167222,-0.120408691,0.753544113,2.716420716,-0.205356738,0.54555841,2.282722832,,-1.9655,-2.1975,-2.536,-3.9869,1.688933333,6.3885,0.057633333,3.026066667,0.7521,,2.707333333,-2.747233333,-3.1684,,,-2.0609,0.168429452,0.364520749,-0.123328406,1.030018078,0.294365408,0.636000869,0.36486763,-0.066568298,0.475060567,0.176366843,,0.890196349,0.153156731,0.423138539,4.057673614,0.394652342,0.47813302,30407,110.284673,72.152293,66.556206,84.78096,55.06739,71.464446,99.701854,75.855316,72.647663,,87.091386,93.363274,27.179636,62.671844,96.30021,100.770209,1.43455447,0.87476496,1.278177481,1.120964786,0.228454455,1.680673805,2.590485852,2.140134692,2.518719741,0.034938608,4.63525448,3.384837036,0.331553078,-0.366906631,5.783854607,2.439537436,0.675745841,6.420750812,3.536349079,6.267008628,6.919797127,5.628017783,7.938132062,5.392568964,1.80746409,6.970750949,5.388638108,,6.981514433,6.419789469,7.266903983,1.973183437,4.607256457,6.80169734
